biosample,classification,output_type,file_accession
right lung,tissue,peaks,ENCFF046QJY
right lung,tissue,peaks,ENCFF104JWY
right renal cortex interstitium,tissue,peaks,ENCFF108GEI
right renal cortex interstitium,tissue,peaks,ENCFF251NTZ
right renal cortex interstitium,tissue,peaks,ENCFF585XKV
right renal pelvis,tissue,peaks,ENCFF033GXT
right renal pelvis,tissue,peaks,ENCFF360OCL
right renal pelvis,tissue,peaks,ENCFF374BCD
sigmoid colon,tissue,peaks,ENCFF006EIZ
sigmoid colon,tissue,peaks,ENCFF862GVN
sigmoid colon,tissue,peaks,ENCFF882CST
skin of body,tissue,peaks,ENCFF203VLF
small intestine,tissue,peaks,ENCFF007XOV
small intestine,tissue,peaks,ENCFF063OCF
small intestine,tissue,peaks,ENCFF321LTV
spinal cord,tissue,peaks,ENCFF038VGE
spinal cord,tissue,peaks,ENCFF162HDT
spinal cord,tissue,peaks,ENCFF753RBC
spleen,tissue,peaks,ENCFF587YNA
stomach,tissue,peaks,ENCFF087QAV
stomach,tissue,peaks,ENCFF104PLB
stomach,tissue,peaks,ENCFF122TCQ
testis,tissue,peaks,ENCFF012QTD
testis,tissue,peaks,ENCFF833PXP
testis,tissue,peaks,ENCFF843ZSC
thymus,tissue,peaks,ENCFF061UBG
thymus,tissue,peaks,ENCFF189LKP
thymus,tissue,peaks,ENCFF601PAY
tibial artery,tissue,peaks,ENCFF378BUF
tibial nerve,tissue,peaks,ENCFF424BYY
tongue,tissue,peaks,ENCFF173CEG
tongue,tissue,peaks,ENCFF259KDP
tongue,tissue,peaks,ENCFF814UZW
transverse colon,tissue,peaks,ENCFF142WAA
trophoblast cell,in vitro differentiated cells,peaks,ENCFF520MND
trophoblast cell,in vitro differentiated cells,peaks,ENCFF533MFM
trophoblast cell,in vitro differentiated cells,peaks,ENCFF855CMV
upper lobe of left lung,tissue,peaks,ENCFF271JAF
urinary bladder,tissue,peaks,ENCFF391VLP
vagina,tissue,peaks,ENCFF538ASZ
vagina,tissue,peaks,ENCFF600WRF
